campaing_id,campaing_code
000,70161000000RCVO
001,70161000000RCVT
002,70161000000RCVU
003,70161000000RCVV
004,70161000000RCVW
005,70161000000RCVX
006,70161000000RCVY
007,70161000000RCVZ
008,70161000000RCVa
009,70161000000RCVb
010,70161000000RCVc
011,70161000000RCVd
012,70161000000RCVe
013,70161000000RCVf
014,70161000000RCVg
015,70161000000RCVh
016-1,70161000000RCVi
016-2,70161000000RCVj
017,70161000000RCVk
018,70161000000RCVl
019,70161000000RCVm
020,70161000000RCVn
021,70161000000RCVo
022,70161000000RCVp
023,70161000000RCVq
024,70161000000RCVr
025,70161000000RCVs
026,70161000000RCVt
027,70161000000RCVu
028,70161000000RCVv
029,70161000000RCVw
030,70161000000RCVx
031-1,70161000000RCVy
031-2,70161000000RCVz
032-1,70161000000RCW0
032-2,70161000000RCW1
033,70161000000RCW2
034,70161000000RCW3
035,70161000000RCW4
036,70161000000RCW5
037,70161000000RCW6
038,70161000000RCW7
039,70161000000RCW8
040,70161000000RCW9
041,70161000000RCWA
042,70161000000RCWB
043-1,70161000000RCWC
043-2,70161000000RCWD
044,70161000000RCWE
045,70161000000RCWF
046,70161000000RCWG
047,70161000000RCWH
048,70161000000RCWI
049,70161000000RCWJ
050,70161000000RCWK
051,70161000000RCWL
052,70161000000RCWM
053,70161000000RCWN
054,70161000000RCWO
055,70161000000RCWP
056,70161000000RCWQ
057,70161000000RCWR
058,70161000000RCWS
059,70161000000RCWT
060,70161000000RCWU
061,70161000000RCWV
062,70161000000RCWW
063,70161000000RCWX
064,70161000000RCWY
065,70161000000RCWZ
066,70161000000RCWa
067,70161000000RCWb
068,70161000000RCWc
069,70161000000RCWd
070,70161000000RCWe
071,70161000000RCWf
072,70161000000RCWg
073,70161000000RCWh
074,70161000000RCWi
075,70161000000RCWj
076,70161000000RCWk
077,70161000000RCWl
078,70161000000RCWm
079,70161000000RCWn
081,70161000000RCWo
082,70161000000RCWp
083,70161000000RCWq
084,70161000000RCWr
085,70161000000RCWs
086,70161000000RCWt
087,70161000000RCWu
088,70161000000RCWv
089,70161000000RCWw
090,70161000000RCWx
091,70161000000RCWy
092,70161000000RCWz
093,70161000000RCX0
094,70161000000RCX1
095,70161000000RCX2
096,70161000000RCX3
097,70161000000RCX4
098,70161000000RCX5
099,70161000000RCX6
101,70161000000RCX7
102,70161000000RCX8
103,70161000000RCX9
104,70161000000RCXA
105,70161000000RCXB
106,70161000000RCXC
107,70161000000RCXD
108,70161000000RCXE
109,70161000000RCXF
110,70161000000RCXG
111,70161000000RCXH
112,70161000000RCXI
113,70161000000RCXJ
114,70161000000RCXK
115,70161000000RCXL
116,70161000000RCXM
117,70161000000RCXN
118,70161000000RCXO
119,70161000000RCXP
120,70161000000RCXQ
121,70161000000RCXR
122,70161000000RCXS
123,70161000000RCXT
124,70161000000RCXU
125,70161000000RCXV
126,70161000000RCXW
127,70161000000RCXX
128,70161000000RCXY
129,70161000000RCXZ
130,70161000000RCXa
131,70161000000RCXb
132,70161000000RCXc
133,70161000000RCXd
134,70161000000RCXe
135,70161000000RCXf
136,70161000000RCXg
137,70161000000RCXh
138,70161000000RCXi
139,70161000000RCXj
140,70161000000RCXk
141,70161000000RCXl
142,70161000000RCXm
143,70161000000RCXn
144,70161000000RCXo
145,70161000000RCXp
146,70161000000RCXq
147,70161000000RCXr
148,70161000000RCXs
149,70161000000RCXt
150,70161000000RCXu
151,70161000000RCXv
152,70161000000RCXw
153,70161000000RCXx
154,70161000000RCXy
155,70161000000RCXz
156,70161000000RCY0
157,70161000000RCY1
158,70161000000RCY2
159,70161000000RCY3
160,70161000000RCY4
161,70161000000RCY5
162,70161000000RCY6
163,70161000000RCY7
164,70161000000RCY8
165,70161000000RCY9
166,70161000000RCYA
167,70161000000RCYB
168,70161000000RCYC
169,70161000000RCYD
170,70161000000RCYE
171,70161000000RCYF
172,70161000000RCYG
173,70161000000RCYH
174,70161000000RCYI
175,70161000000RCYJ
176,70161000000RCYK
177,70161000000RCYL
178,70161000000RCYM
179,70161000000RCYN
180,70161000000RCYO
181,70161000000RCYP
182,70161000000RCYQ
183,70161000000RCYR
184,70161000000RCYS
185,70161000000RCYT
186,70161000000RCYU
187,70161000000RCYV
188,70161000000RCYW
189,70161000000RCYX
190,70161000000RCYY
191,70161000000RCYZ
192,70161000000RCYa
193,70161000000RCYb
194,70161000000RCYc
195,70161000000RCYd
196,70161000000RCYe
197,70161000000RCYf
198,70161000000RCYg
199,70161000000RCYh
200,70161000000RCYi
201,70161000000RCYj
202,70161000000RCYk
203,70161000000RCYl
204,70161000000RCYm
205,70161000000RCYn
206,70161000000RCYo
207,70161000000RCYp
208,70161000000RCYq
209,70161000000RCYr
210,70161000000RCYs
211,70161000000RCYt
212,70161000000RCYu
213,70161000000RCYv
214,70161000000RCYw
215,70161000000RCYx
216,70161000000RCYy
217,70161000000RCYz
218,70161000000RCZ0
219,70161000000RCZ1
220,70161000000RCZ2
221,70161000000RCZ3
222,70161000000RCZ4
223,70161000000RCZ5
224,70161000000RCZ6
225,70161000000RCZ7
226,70161000000RCZ8
227,70161000000RCZ9
228,70161000000RCZA
229,70161000000RCZB
230,70161000000RCZC
232,70161000000Rz1r
233,70161000000SNSg
234,70161000000SNSl
235,70161000001K3sH
236,70161000001K3sM
237,70161000001KNjJ
238,70161000001L37H
239,70161000001VfTf
240,70161000001VfTg
241,70161000001McF9
242,70161000001VfTh
243,70161000001VfTi
244,70161000001VfTj
245,70161000001VaY3
246,70161000001VaY4
247,70161000001VaY5
248,70161000001VaY6
249,70161000001VaY7
250,70161000001VaY8
251,70161000001VaY9
252,70161000001VaYA
253,70161000001VaYB
254,70161000001VaYC
255,70161000001VaYD
256,70161000001VaYE

