campaing_id,campaing_code,valid_from,valid_to,loyalty_card,description
0,70161000001bqr3,01-06-2019,30-06-2019,1,Fidelizados - Junio 2019
0,70161000001bqqt,01-02-2019,28-02-2019,1,Fidelizados - Febrero 2019
0,70161000001bqqu,01-03-2019,31-03-2019,1,Fidelizados - Marzo 2019
0,70161000001bqqv,01-04-2019,30-04-2019,1,Fidelizados - Abril 2019
0,70161000001bqqw,01-05-2019,05-01-2019,1,Fidelizados - Mayo 2019
0,70161000001bqqx,01-07-2019,31-07-2019,1,Fidelizados - Julio 2019
0,70161000001bqqy,01-08-2019,31-08-2019,1,Fidelizados - Agosto 2019
0,70161000001bqqz,01-09-2019,30-09-2019,1,Fidelizados - Septiembre 2019
0,70161000001bqr0,01-10-2019,31-10-2019,1,Fidelizados - Octubre 2019
0,70161000001bqr1,01-11-2019,30-11-2019,1,Fidelizados - Noviembre 2019
0,70161000001bqr2,01-12-2019,31-12-2019,1,Fidelizados - Diciembre 2019
0,70161000001bhev,01-01-2019,31-01-2019,1,Fidelizados - Enero 2019
0,70161000001bhdu,01-01-2019,31-01-2019,0,CAMPAÑA I -ENERO-POSTAL
0,70161000001bhdx,01-02-2019,17-02-2019,0,CAMPAÑA I -FEBRERO-POSTAL
0,70161000001bhe0,02-18-2019,28-02-2019,0,CAMPAÑA II -FEBRERO-POSTAL
257,70161000001bhe3,01-03-2019,31-03-2019,0,CAMPAÑA II -MARZO-POSTAL
258,70161000001bhe6,01-04-2019,30-04-2019,0,CAMPAÑA II -ABRIL-POSTAL
259,70161000001bhe9,01-05-2019,31-05-2019,0,CAMPAÑA III -MAYO-POSTAL
260,70161000001bheC,01-06-2019,30-06-2019,0,CAMPAÑA III -JUNIO-POSTAL
261,70161000001bheF,01-07-2019,31-07-2019,0,CAMPAÑA III -JULIO-POSTAL
262,70161000001bheI,01-08-2019,31-08-2019,0,CAMPAÑA III -AGOSTO-POSTAL
263,70161000001bheL,01-09-2019,30-09-2019,0,CAMPAÑA IV -SEPTIEMBRE-POSTAL
264,70161000001bheO,01-10-2019,31-10-2019,0,CAMPAÑA IV -OCTUBRE-POSTAL
265,70161000001bheR,01-11-2019,30-11-2019,0,CAMPAÑA IV -NOVIEMBRE-POSTAL
266,70161000001bheU,01-12-2019,31-12-2019,0,CAMPAÑA V -DICIEMBRE-POSTAL
0,70161000001bheh,01-03-2019,31-03-2019,0,CAMPAÑA RECUPERO DONANTES MARZO
0,70161000001bhek,01-08-2019,31-08-2019,0,CAMPAÑA RECUPERO DONANTES AGOSTO
0,70161000001bhen,01-03-2019,31-03-2019,0,CAMPAÑA UPGRADE-PROYECTO MARZO
0,70161000001bheq,01-08-2019,31-08-2019,0,CAMPAÑA UPGRADE-PROYECTO AGOSTO
0,70161000001bhet,01-01-2019,31-12-2019,0,CAMPAÑA BASE CARRERA post carrera
231,70161000001VwN8,01-12-2016,31-12-2016,0,PROSPECCIÓN DICIEMBRE 2016
239,70161000001VfTf,01-07-2017,31-7-2017,0,239
240,70161000001VfTg,01-08-2017,30-8-2017,0,Envío Postal 2017
242,70161000001VfTh,01-10-2017,31-10-2017,0,Envío Postal Octubre 2017
243,70161000001VfTi,01-11-2017,30-11-2017,0,Envío Postal Noviembre 2017
244,70161000001VfTj,01-12-2017,31-12-2017,0,Envío Postal Diciembre 2017
245,70161000001VaY3,01-01-2018,31-01-2018,0,Enví­o Postal Enero-245
246,70161000001VaY4,01-02-2018,28-02-2018,0,Envío Postal Febrero-246
247,70161000001VaY5,01-03-2018,30-03-2018,0,3-Enví­o Postal Marzo-247
248,70161000001VaY6,01-04-2018,30-04-2018,0,4-Enví­o Postal Abril-248
249,70161000001VaY7,01-05-2018,31-05-2018,0,5-Enví­o Postal Mayo-249
250,70161000001VaY8,01-06-2018,30-06-2018,0,6-Envío Postal Junio-250
251,70161000001VaY9,01-07-2018,31-07-2018,0,7-Envío Postal Julio-251
252,70161000001VaYA,01-08-2018,31-08-2018,0,8-Envío Postal Agosto-252
253,70161000001VaYB,01-09-2018,30-09-2018,0,9-Envío Postal Septiembre-253
254,70161000001VaYC,01-10-2018,31-10-2018,0,10-Enví­o Postal Octubre-254
255,70161000001VaYD,01-11-2018,30-11-2018,0,11-Enví­o Postal Noviembre-255
256,70161000001VaYE,01-12-2018,31-12-2018,0,12-Envío Postal Diciembre-256
0,70161000001VaYR,01-01-2018,31-01-2018,1,Fidelizados - Enero 2018
0,70161000001VaYS,01-02-2018,28-02-2018,1,Fidelizados - Febrero 2018
0,70161000001VaYT,01-03-2018,30-03-2018,1,Fidelizados - Marzo 2018
0,70161000001VaYU,01-04-2018,30-04-2018,1,Fidelizados - Abril 2018
0,70161000001VaYV,01-05-2018,31-05-2018,1,Fidelizados - Mayo 2018
0,70161000001VaYW,01-06-2018,30-06-2018,1,Fidelizados - Junio 2018
0,70161000001VaYX,01-07-2018,31-07-2018,1,Fidelizados - Julio 2018
0,70161000001VaYY,01-08-2018,31-08-2018,1,Fidelizados - Agosto 2018
0,70161000001VaYZ,01-09-2018,30-09-2018,1,Fidelizados - Septiembre 2018
0,70161000001VaYa,01-10-2018,31-10-2018,1,Fidelizados - Octubre 2018
0,70161000001VaYb,01-11-2018,30-11-2018,1,Fidelizados - Noviembre 2018
0,70161000001VaYc,01-12-2018,31-12-2018,1,Fidelizados - Diciembre 2018
0,70161000001VaVJ,01-12-2018,31-12-2018,0,Navidad Diciembre -2018
241,70161000001McF9,01-09-2017,30-09-2017,0,HOJA
238,70161000001L37H,01-07-2017,31-07-2017,0,HOJA INFO INVIERNO 2017
237,70161000001KNjJ,01-01-2000,01-01-2000,0,CARTA EDUCACIÓN AÑO 2017
236,70161000001K3sM,01-05-2017,31-5-2017,0,HOJA INFORMATIVA DE OTOÑO 2017
235,70161000001K3sH,01-04-2017,30-4-2017,0,CARTA DE PASCUA
234,70161000000SNSl,01-03-2017,31-03-2017,0,HOJA MEMORIA 2016
233,70161000000SNSg,01-03-2017,31-03-2017,0,PROSPECCIÓN MARZO 2017
232,70161000000Rz1r,01-02-2017,28-02-2017,0,FEBRERO 2017
